min_cost_per_person,max_cost_per_person,time_stayed_in_days,travel_place,traveled_from,travel_month,hotel_name,did_you_like_the_hotel,recommended_restaurant,did_you_like_the_restaurant
1500,2200,1.0,panam city sonargaon,dhaka,december,Grand Hill,no,pan pacific sonargaon dhaka,yes
2200,3000,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,sinbad restaurant,yes
1500,2000,1.0,mahasthangarh,sirajganj,december,Palace Hill,yes,Spice Restaurant,yes
4700,6200,2.5,coxs bazar, dhaka ,october,ocean paradise hotel,no,poushee hotel & restaurant,yes
2500,6400,2.5,sajek valley,jashore ,february,Palace Hill,yes,Spice Kabab House,yes
4300,5300,7.5,saint martins island,sirajganj ,november,hotel prince heaven,no,flying fish & food restaurant,yes
7000,9000,4.0,rangamati,cox's bazar,may,rangamati hill view resort,no,gang sabarang,no
3000,5700,1.5,coxs bazar,narsingdi ,september,sea view hotel,no,the seven seas restaurant,no
2400,3800,1.5,sitakunda eco park,thakurgaon,september,Hotel Hotel,yes,chui jhal beef restaurant,no
1500,7200,5.5,lawachara national park,barishal ,december,grand sultan tea resort & golf,yes,Palace Diner,no
3800,6100,2.0,tanguar haor,brahmanbaria ,august, haor bilash cottage,yes,rose garden restaurant,no
7500,8900,9.0,lawachara national park,noakhali ,november,grand sultan tea resort & golf,no,kutum bari restaurant,no
1500,2800,1.0,paharpur buddhist vihara,"jatrabari,dhaka",february,hotel touch & go,yes,midas restaurant,yes
6100,6700,2.5,coxs bazar,chittagong ,october,coxs bazar inn,yes,bay marine beach resort restaurant,yes
2200,4100,1.0,ratargul swamp forest, barishal,november,Green Inn,yes,Paradise Food Court,yes
2400,7300,4.5,coxs bazar,"jatrabari,dhaka",december,ratargul swamp forest,yes,handi,yes
1500,3100,1.0,mahasthangarh, gazipur ,march,momo inn,yes,Traditional Hotel and Restaurant,yes
3700,5300,5.0,jaflong,chittagong ,december,jaflong eco resort,yes,pach bhai restaurant,yes
1500,2200,1.0,mahasthangarh,sirajganj,january,Grand Resort,yes,Taste Kabab House,yes
6400,8000,10.0,lawachara national park,noakhali ,december,Hill View,no,asian eco cafe & restaurant,no
3000,5000,5.5,coxs bazar,sylhet ,december,hotel esha international,no,sea view restaurant,yes
1500,8100,4.0,jaflong,dinajpur ,july,Golden Palace,yes,jaflong view restaurant,yes
4200,4800,9.5,saint martins island, dhaka,january,Palace Hill,yes,flying fish & food restaurant,no
2200,5300,3.0,rangamati,dhaka,september,Hill Lodge,yes,cafe mangal,no
4500,6200,2.0,bandarban,jashore,january,Resort Hill,yes,Taste Restaurant,yes
3400,6000,1.0,kuakata,panchagarh ,september,hotel sea paradise,no,Palace Diner,no
5100,7500,3.5,sajek valley,bike ,may,sajek tourist complex,yes,sajek kutumbari restaurant,no
5700,6300,3.0,coxs bazar,dhala,october,marma resort,no,bay marine beach resort restaurant,no
4000,4600,1.0,coxs bazar,cox's bazar,april,green house resort,yes,kasturi restaurant,yes
4000,5000,2.0,jaflong,dinajpur ,june,Sea View,no,pach bhai restaurant,yes
6400,7500,1.0,coxs bazar,comilla ,october,beach hotel,no,palongki inani,no
3800,5800,1.5,rangamati, teknaf,september,cloudy lake resort,no,cafe mangal,yes
4600,5800,2.0,tanguar haor,jashore,august,Palace Palace,yes,Traditional Diner,no
5200,5800,2.0,bichanakandi,kishoreganj ,september,Golden Inn,yes,Palace Food Court,no
4000,5300,2.5,jaflong,"jatrabari,dhaka",august,hotel noorjahan grand,yes,Golden Food Court,no
2800,5200,1.0,bandarban,dhaka ,october, hillside resort,yes,hill's dine,yes
4200,5000,2.5,jaflong,cumilla,december, jaflong inn,no,pach_bhai restaurant,yes
4600,6500,9.0,lawachara national park,dhaka ,november,Hill View,no,Spice Kabab House,no
4900,7000,2.0,tanguar haor,sylhet,august,Hill Hill,yes,Paradise Food Court,no
4400,4900,3.0,rangamati,faridpur ,april,cloudy lake resort,no,Family Cafe,no
2700,4500,2.0,sitakunda eco park,home,september," the peninsula chittagong, hotel agrabad",yes,rajbari restaurant,no
2600,4000,1.5,sitakunda eco park,chittagong ,august,Hotel Hotel,yes,chui jhal beef restaurant,no
5200,6900,2.0,tanguar haor,brahmanbaria ,june,Hill Hill,yes,Paradise Food Court,no
3300,6400,1.5,kuakata,kishoreganj ,may,hotel aman international,no,sea palace restaurant,yes
3800,5500,2.0,tanguar haor,barisal,june, houseboats,yes,Traditional Diner,no
6000,6600,8.5,bandarban,kushtia,december,chimbuk hill resort,yes,green prairie restaurant,yes
1500,3100,1.0,paharpur buddhist vihara,home,february,Hotel View,no,Spice Hotel and Restaurant,yes
4200,5600,4.0,sajek valley,chittagong ,march,ruilui resort,yes,maruti didi restaurant,yes
1500,3500,5.0,jaflong,dinajpur ,may,hotel noorjahan grand,no,sinbad restaurant,no
2300,3800,3.5,kuakata,tangail,april,hotel graver inn international,no,Palace Kabab House,yes
1500,3400,1.0,panam city sonargaon,dhaka,july,Royal Resort,no,Palace Hotel and Restaurant,yes
2800,4300,10.0,saint martins island,barisal,january,Palace Hill,yes,Traditional Cafe,yes
5100,6200,6.0,saint martins island,jashore,december,coral view resort,yes,hasan restaurant,yes
3300,6800,2.5,rangamati,rajshahi ,february,Palace Resort,yes,cafe mangal,yes
1500,2300,1.0,paharpur buddhist vihara,"jatrabari,dhaka",february,hotel touch & go,no,Palace Cafe,yes
1700,4000,1.5,sitakunda eco park,chittagong ,september," the peninsula chittagong, hotel agrabad",yes,Family Restaurant,no
2200,3800,2.0,sitakunda eco park,chittagong ,february,Golden Lodge,yes,Family Restaurant,no
2400,5300,3.0,kuakata, gazipur ,december,kuakata grand hotel & sea resort,no,sea palace restaurant,no
4100,4900,1.0,bandarban, gazipur ,may,hill resort,yes,kalapata restaurant,no
4000,5100,1.0,bandarban,dhaka,february,nilgiri resort,yes,kalapata restaurant,yes
2200,5500,5.0,rangamati,rajshahi ,december,Hotel Lodge,yes,peda ting ting restaurant,yes
1500,2300,1.0,panam city sonargaon,kishoreganj ,october,Grand Hill,no,sonargaon restaurant,no
2200,4400,3.0,jaflong,sylhet ,november,hotel noorjahan grand (sylhet),no,pach_bhai restaurant,yes
1500,3000,10.0,lawachara national park,dhaka ,november,Beach Palace,yes,asian eco cafe & restaurant,yes
2200,3900,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,sinbad restaurant,yes
2200,3900,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,Paradise Food Court,yes
1500,3400,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,casuarina,yes
1500,2300,1.0,panam city sonargaon,dhaka,july,Grand Hill,yes,Taste Cafe,no
3800,4600,4.0,rangamati,dhaka ,may,rangamati hill view resort,yes,chang pang restaurant,no
4300,6100,3.0,rangamati,laxmipur,december,hotel green castle,no,Family Cafe,no
2200,4000,1.0,ratargul swamp forest,cumilla ,november,Green Inn,yes,Sea Food Court,yes
5200,7000,1.0,saint martins island,kushtia,october,dream night resort,yes,Traditional Cafe,yes
1500,3500,1.0,mahasthangarh,sirajganj,january,Grand Resort,yes,casuarina,yes
4800,6400,5.5,coxs bazar,dhaka ,august,coxs bazar inn,no,bay marine beach resort restaurant,yes
1500,3300,2.0,sitakunda eco park,chittagong ,august," the peninsula chittagong, hotel agrabad",yes,Family Restaurant,no
4100,5700,2.0,bandarban,chittagong ,may, hillside resort,yes,Royal Restaurant,no
4500,5900,1.5,bichanakandi,cox's bazar,march,Grand Hill,yes,saffron restaurant,no
4600,6500,2.5,rangamati,laxmipur,february,Beach International,yes,Family Cafe,no
1500,3200,1.0,paharpur buddhist vihara,dhaka,june,hotel touch & go,yes,Spice Hotel and Restaurant,no
1500,2000,1.0,paharpur buddhist vihara,joypurhat ,february,hotel naz garden (bogura),yes,midas restaurant,no
1500,3200,1.0,panam city sonargaon,gazipur ,july,Hill Garden,no,Paradise Diner,no
3800,4800,5.0,jaflong,panchagarh ,february,hotel noorjahan grand,yes,Golden Food Court,yes
2200,3300,1.0,ratargul swamp forest,campus ,november,Royal View,yes,sinbad restaurant,yes
3800,6800,2.0,tanguar haor,cumilla,august,Palace Palace,yes,kichukkhon,no
4700,5900,2.0,kuakata,dhaka ,february,hotel sea paradise,no,hotel nibedita & restaurant,no
2200,5700,3.5,rangamati,"rajbari,dhaka",april,cloudy lake resort,no,chang pang restaurant,no
4100,5400,2.5,bichanakandi,pabna,february,Golden Inn,no,Palace Diner,yes
5200,6000,2.0,tanguar haor,narayanganj ,august,Palace Palace,yes,Taste Hotel and Restaurant,no
2200,3000,1.0,ratargul swamp forest,sylhet,november,Resort Hill,yes,Paradise Food Court,yes
2200,3000,1.0,ratargul swamp forest,barisal,november,Royal View,yes,Sea Food Court,yes
2200,4100,1.5,rangamati,rajshahi ,may,rangamati hill view resort,no,chang pang restaurant,yes
4200,5700,3.0,coxs bazar,savar ,february,deshpriya resort,yes,palongki inani,yes
4900,9600,3.5,sajek valley,savar,march,sajek tourist complex,yes,Royal Restaurant,yes
7200,7800,5.5,saint martins island,barishal,august,coral view resort,no,flying fish & food restaurant,no
5400,7200,3.0,sajek valley,savar,august, ruilui resort,no,fudanki restaurant,yes
6800,8200,3.0,sajek valley,chittagong ,february,meghpunji resort,yes,eni lushai cottage & restaurant,yes
1500,2900,1.0,panam city sonargaon,"jatrabari,dhaka",august,sonargaon hotel & resort,no,Palace Hotel and Restaurant,yes
6500,7100,5.0,sajek valley,barishal ,march,Palace Hill,no,Spice Kabab House,no
4100,6400,2.0,tanguar haor,brahmanbaria ,june, houseboats,yes,Taste Hotel and Restaurant,no
6200,8100,8.0,lawachara national park,dhaka ,may,grand sultan tea resort & golf,no,Palace Diner,no
2400,3800,5.0,bandarban,kishoreganj ,january,chimbuk hill resort,yes,tajingdong restora,no
4300,10000,1.5,rangamati,gazipur ,july,rangamati hill view resort,no,peda ting ting restaurant,yes
5200,5900,2.0,tanguar haor,cumilla,june, haor bilash cottage,yes,Paradise Food Court,no
1500,3300,1.0,mahasthangarh,cumilla ,january,Grand Resort,yes,Taste Kabab House,yes
1500,3000,1.0,paharpur buddhist vihara,joypurhat ,january,hotel naz garden (bogura),yes,Spice Hotel and Restaurant,yes
6200,7400,10.0,lawachara national park,dhaka ,november,Beach Palace,yes,Spice Kabab House,yes
2200,10000,1.5,bichanakandi,gazipur ,november,bichanakandi resort,yes,Palace Diner,no
1500,5500,4.0,kuakata,joypurhat ,june,hotel sea orchid,no,Palace Kabab House,no
2000,7700,1.0,saint martins island,faridpur ,december,hotel prince heaven,yes,Traditional Cafe,no
1800,4600,2.0,jaflong,dhaka,january, jaflong green resort,yes,Family Cafe,yes
2900,3800,1.5,sitakunda eco park,chittagong ,august, radisson blu chattogram bay view,yes,chui jhal beef restaurant,no
5700,8600,6.5,lawachara national park,dhaka ,february,grand sultan tea resort & golf,yes,kutum bari restaurant,yes
1500,5500,1.0,coxs bazar,savar,september,beach hotel,yes,kashbon restaurant,yes
7500,9400,3.0,bichanakandi,dinajpur ,may,Golden Inn,yes,Traditional Food Court,no
7200,7800,1.0,bichanakandi,dhaka,november,bichanakandi resort,no,Traditional Food Court,no
1500,6200,7.5,bandarban,chittagong,june,Grand Resort,no,tohzah restaurant,yes
1500,2700,1.0,mahasthangarh,brahmanbaria ,december,Grand Resort,yes,Traditional Hotel and Restaurant,yes
1500,2300,1.0,mahasthangarh,sirajganj,january,momo inn,yes,casuarina,yes
2800,5700,2.0,bichanakandi,savar,january,bichanakandi resort,no,saffron restaurant,no
2000,5900,1.5,bandarban,chittagong,june, nilgiri resort,yes,tohzah restaurant,yes
5400,6900,2.5,bichanakandi,kishoreganj ,january,Grand Hill,no,saffron restaurant,yes
4800,6400,5.0,saint martins island,narsingdi ,july, hotel blue pearl,yes,Paradise Diner,no
3500,4800,1.0,bandarban,brahmanbaria ,february, hillside resort,yes,kalapata restaurant,yes
1700,2800,1.0,sitakunda eco park,dhaka,august,Hotel Hotel,yes,zafran restaurant,no
2300,7100,2.0,jaflong,dhaka,march,Sea View,yes,sinbad restaurant,yes
4500,8000,1.5,bichanakandi,dhaka,january,Grand Hill,yes,Paradise Restaurant,yes
1500,3200,1.0,mahasthangarh,faridpur ,january,Grand Resort,yes,Spice Restaurant,yes
2300,2800,2.0,sitakunda eco park,narsingdi ,august,Hotel Hotel,yes,zafran restaurant,no
4000,6500,3.5,bandarban,chottogram,february,chimbuk hill resort,no,chimbuk hill restaurant,no
1500,2400,1.0,panam city sonargaon,barishal,july, (nearby in narayanganj/dhaka) pan pacific sonargaon,no,Taste Kabab House,no
4300,6200,4.0,saint martins island,sirajganj ,june,nil digonte resort,no,narikel jinjira restaurant,no
6100,10000,1.0,saint martins island,barisal,april,dream night resort,yes,Traditional Cafe,no
2700,4700,2.0,rangamati,gazipur,december,Beach International,no,gang sabarang,no
3700,4900,2.5,rangamati,jashore,may,Hill Lodge,no,peda ting ting restaurant,no
3000,4800,8.5,lawachara national park,dhaka ,november,lawachara resort,no,Palace Diner,no
1500,3100,1.0,mahasthangarh,narayanganj ,june,momo inn,yes,casuarina,yes
1500,3000,1.0,mahasthangarh,khulna ,january,Grand Resort,yes,Traditional Hotel and Restaurant,yes
2700,4000,4.5,jaflong,sylhet,july,Sea View,yes,pach bhai restaurant,yes
1500,3500,1.0,panam city sonargaon,dhaka ,october,sonargaon hotel & resort,no,Taste Kabab House,yes
1500,3400,1.0,mahasthangarh,cumilla,january,momo inn,yes,Traditional Hotel and Restaurant,yes
1500,2700,1.0,paharpur buddhist vihara,joypurhat ,april,hotel naz garden (bogura),yes,hotel al-razzaque & restaurant,no
6000,6900,3.0,rangamati,satkhira ,november,rangamati hill view resort,no,peda ting ting restaurant,yes
6900,8000,1.0,bichanakandi,dhaka,december,Golden Inn,no,panshi restaurant,yes
7500,9200,5.0,lawachara national park,kushtia,november,lawachara resort,no,Spice Kabab House,no
2400,6100,3.5,kuakata,faridpur ,december,Golden View,yes,banorupa garden restaurant,yes
4000,6300,2.0,tanguar haor,brahmanbaria ,december,Hill Hill,yes,rose garden restaurant,no
4700,5900,1.5,coxs bazar,cumilla,october,the paradise cox's bazar,yes,Spice Restaurant,yes
1500,2200,1.0,paharpur buddhist vihara,dhaka,february,Hotel View,no,Palace Cafe,no
2900,5400,2.0,bichanakandi,dhaka,february,Golden Inn,yes,panshi restaurant,yes
2100,3900,1.0,sitakunda eco park,laxmipur,may,(nearby in chattogram) radisson blu chattogram bay view,yes,rajbari restaurant,no
3600,10000,7.0,lawachara national park,dhaka ,january,Beach Palace,no,Spice Kabab House,yes
1500,2400,1.5,sitakunda eco park,chittagong ,september, radisson blu chattogram bay view,yes,Traditional Hotel and Restaurant,yes
5700,7800,1.5,rangamati,dhaka ,august,cloudy lake resort,no,Taste Food Court,no
3800,5500,2.0,tanguar haor,brahmanbaria ,march,Palace Palace,yes,Traditional Diner,no
1500,2000,1.0,mahasthangarh,sirajganj,january,momo inn,yes,casuarina,yes
4200,5000,2.0,tanguar haor,brahmanbaria ,june,Hill Hill,yes,kichukkhon,no
2200,4200,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,Paradise Food Court,yes
4500,6000,10.0,bandarban,panchagarh ,january,sairu hill resort,yes,hill view restaurant,yes
1500,5000,5.0,lawachara national park,chittagong ,november,grand sultan tea resort & golf,no,Spice Kabab House,no
5500,6300,1.0,saint martins island,cox's bazar,september,dream night resort,no,Traditional Cafe,no
4600,8900,2.5,sajek valley,bike ,january,sajek resort,no,chhimbal restaurant,no
6300,8200,2.5,coxs bazar,cox's bazar ,november,green house resort,yes,poushee hotel & restaurant,yes
2200,3800,1.0,ratargul swamp forest,cox's bazar,november,Royal View,yes,sinbad restaurant,yes
1500,2500,1.0,panam city sonargaon,dhaka,december,Hill Garden,no,Paradise Diner,yes
1500,2900,1.0,panam city sonargaon,dhaka,july,Grand Hill,no,Paradise Diner,yes
3400,9000,3.5,rangamati,dhaka,september,Hotel Lodge,no,peda ting ting restaurant,yes
2200,3000,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
6700,8500,2.0,rangamati,laxmipur,october,Beach International,no,Family Cafe,no
7000,8500,3.0,coxs bazar,dhaka ,november,green house resort,no,kasturi restaurant,yes
5700,6900,2.5,sajek valley,thakurgaon,december,jumghor eco resort,yes,fudanki restaurant,yes
3600,5000,4.5,kuakata,barishal,september,hotel sea coral,no,rajdhani hotel & restaurant,yes
1500,2500,1.0,panam city sonargaon,satkhira ,july,Royal Resort,yes,Paradise Diner,yes
2500,4200,5.5,bandarban,dhaka,december, hillside resort,no,chimbuk hill restaurant,yes
5600,7400,2.0,kuakata,chittagong ,october,kuakata grand hotel & sea resort,yes,rajdhani hotel & restaurant,yes
4000,10000,1.5,saint martins island,barishal,october, hotel blue pearl,yes,Traditional Cafe,yes
4900,6800,3.0,kuakata,"rajbari,dhaka",february,hotel sea orchid,yes,Golden Hotel and Restaurant,yes
4700,7100,4.5,jaflong,narayanganj ,may,Sea View,yes,sinbad restaurant,yes
2800,3700,5.0,jaflong,sylhet,september,jaflong tourist lodge,no,panshi restaurant,yes
7300,8700,7.0,lawachara national park,campus ,june,Hill View,no,Palace Diner,yes
3400,4700,2.5,kuakata,tangail,november, hotel graver inn,no,rajdhani hotel & restaurant,yes
2200,4000,1.0,ratargul swamp forest,campus ,october,Green Inn,yes,sinbad restaurant,yes
1600,3200,1.5,sitakunda eco park,dhaka,august,Golden Lodge,yes,Traditional Hotel and Restaurant,no
3400,5900,5.5,saint martins island,jashore,april, hotel blue pearl,yes,st. martin village restaurant,no
1500,3400,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,Traditional Hotel and Restaurant,yes
2800,6100,2.0,bichanakandi,kishoreganj ,september,bichanakandi resort,yes,Traditional Food Court,no
3100,3700,4.5,bandarban,noakhali ,november,chimbuk hill resort,yes,hill's dine,yes
1500,2400,1.0,mahasthangarh,sirajganj,may,Palace Hill,yes,Taste Kabab House,yes
3700,5800,3.5,kuakata,savar,november, hotel graver inn,no,marine restaurant and kabab,yes
4600,7000,3.5,rangamati, barishal,september,cloudy lake resort,yes,peda ting ting restaurant,yes
4400,6300,2.0,tanguar haor,brahmanbaria ,june,Palace Palace,yes,kichukkhon,no
1500,2900,1.0,mahasthangarh,sirajganj,january,Palace Hill,yes,casuarina,yes
3500,5800,3.0,kuakata,dhaka ,june,hotel sea queen resort,yes,Palace Diner,yes
3900,5700,3.0,bichanakandi,dhaka,february,Grand Hill,yes,panshi restaurant,yes
3600,5200,2.0,jaflong,chottogram,october, jaflong inn,yes,pach bhai restaurant,yes
6000,7800,11.5,saint martins island,campus ,january,coral view resort,yes,jol torongo restora,yes
1500,3300,1.0,mahasthangarh,bandorban ,november,Palace Hill,yes,Traditional Hotel and Restaurant,yes
2600,3400,2.0,sitakunda eco park,chittagong ,august," the peninsula chittagong, hotel agrabad",yes,rajbari restaurant,yes
1500,2600,1.0,panam city sonargaon,dhaka ,july,Hill Garden,no,Paradise Diner,yes
4000,4500,4.0,sajek valley,bike ,april,meghpunji resort,no,Royal Cafe,yes
4200,6000,3.5,bandarban,cox's bazar ,december,Royal Hotel,no,Royal Restaurant,yes
3900,5400,2.0,tanguar haor,brahmanbaria ,august, haor bilash cottage,yes,Taste Hotel and Restaurant,no
1800,7400,4.5,bandarban,chittagong ,january,hotel green hill,yes,green prairie restaurant,yes
2200,3000,1.0,ratargul swamp forest,brahmanbaria ,august,Green Inn,yes,Sea Food Court,yes
1500,2300,1.0,panam city sonargaon,savar,december,Hill Resort,no,sonargaon restauran,yes
3400,5800,3.0,rangamati,rajshahi ,december,rangamati hill view resort,no,cafe mangal,yes
5600,6200,2.5,kuakata,comilla ,november,Golden View,no,rajdhani hotel & restaurant,yes
7200,7800,10.0,lawachara national park,dhaka ,november,Beach Palace,no,kutum bari restaurant,yes
1500,3500,1.0,panam city sonargaon,mymensingh ,july,Royal Resort,no,Paradise Diner,no
5000,6100,1.0,bichanakandi,chittagong ,november,Grand Hill,no,Traditional Food Court,no
1500,2200,1.0,mahasthangarh,sirajganj,july,Resort International,yes,Spice Restaurant,yes
7200,8900,4.0,coxs bazar,dhala,january,hotel meridian,yes,kasturi restaurant,no
1500,2000,1.0,paharpur buddhist vihara,dhaka,june,hotel naz garden (bogura),yes,Spice Hotel and Restaurant,yes
3500,7000,2.5,kuakata, gazipur ,april,hotel grand safa inn,yes,rajdhani hotel & restaurant,yes
5000,5800,3.0,bandarban,kushtia,february, hillside resort,yes,kalapata restaurant,no
1500,2700,1.0,sitakunda eco park,dhaka,february, radisson blu chattogram bay view,yes,Traditional Hotel and Restaurant,no
2200,3800,1.0,ratargul swamp forest,campus ,november,Green Inn,yes,Sea Food Court,yes
3300,7000,4.5,rangamati,gazipur ,september,hotel green castle,no,peda ting ting restaurant,yes
4100,6600,1.0,bandarban,campus ,october,Resort Inn,no,kalapata restaurant,yes
2900,4600,5.0,jaflong,dhaka,august,Sea View,yes,Golden Food Court,yes
4800,5900,2.0,rangamati,narayanganj ,october, hotel green castle,yes,cafe mangal,yes
3400,4000,3.5,jaflong,sylhet,february,jaflong tourist lodge,yes,pach bhai restaurant,yes
1500,3100,1.0,mahasthangarh,dhaka,january,Palace Hill,yes,Taste Kabab House,yes
3800,7000,2.0,bandarban,chittagong ,march,Resort Inn,yes,green prairie restaurant,yes
1500,3300,1.0,paharpur buddhist vihara,joypurhat ,february,Beach Palace,no,midas restaurant,no
4100,5900,2.0,tanguar haor,barishal,august, haor bilash cottage,yes,Paradise Food Court,no
4600,5300,1.0,coxs bazar,narayanganj ,december,grace cox smart hotel,yes,handi,no
1500,2000,1.0,panam city sonargaon,khulna ,december,sonargaon hotel & resort,yes,Paradise Diner,no
4300,8100,2.5,bandarban,barishal,september,nafakhum resort,no,Taste Restaurant,yes
1500,3100,1.0,panam city sonargaon,sirajganj,december,Hill Garden,no,sonargaon restauran,yes
4700,5800,2.5,sajek valley,bike ,december,sajek valley resort,yes,the taste of sajek restaurant,yes
3300,4700,3.5,sajek valley,rajshahi ,november, a-frame cottage sajek,yes,the taste of sajek restaurant,no
1500,3300,1.0,panam city sonargaon,dhaka,july,Grand Hill,yes,pan pacific sonargaon dhaka,no
4800,8000,8.5,saint martins island,chittagong,august,hotel blue pearl,yes,flying fish & food restaurant,yes
5800,9300,2.5,bichanakandi,ashulia ,august,bichanakandi resort,no,Palace Diner,no
7500,9400,6.5,lawachara national park,campus ,july,Beach Palace,yes,kutum bari restaurant,no
7500,8800,8.5,lawachara national park,barisal,november,lawachara resort,no,asian eco cafe & restaurant,yes
4300,6100,2.0,kuakata,faridpur,january,kuakata beach resort,no,banorupa garden restaurant,yes
2900,6100,3.0,coxs bazar,satkhira ,november,new tower hotel,no,palongki inani,no
2300,3100,1.0,sitakunda eco park,chittagong ,august,sitakunda eco resort,yes,zafran restaurant,no
1500,3100,1.0,mahasthangarh,sirajganj,january,momo inn,yes,Taste Kabab House,yes
4000,5900,2.0,tanguar haor,brahmanbaria ,august,Palace Palace,yes,Taste Hotel and Restaurant,no
4300,9700,3.5,coxs bazar,"jatrabari,dhaka",september,zee-sha hotel,yes,narikel jinjira restaurant,no
4600,6100,2.0,tanguar haor,kishoreganj ,august, haor bilash cottage,yes,Traditional Diner,no
1500,2500,1.0,paharpur buddhist vihara,dhaka,june,Beach Palace,yes,Spice Hotel and Restaurant,yes
2200,4100,1.0,ratargul swamp forest,campus ,november,shah kamal hotel sylhet,yes,sinbad restaurant,yes
1500,3400,1.0,panam city sonargaon,dhaka ,july,Royal Resort,yes,sonargaon restaurant,yes
2200,3400,1.0,ratargul swamp forest,campus ,november,Resort Hill,yes,Paradise Food Court,yes
3300,3900,2.5,bandarban,brahmanbaria,january,hotel green hill,yes,shwe restaurant,no
